c,p,o,oLabel
http://www.wikidata.org/entity/Q122617572,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q82551938,fictional apartment
http://www.wikidata.org/entity/Q122617600,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q63960235,fictional mansion
http://www.wikidata.org/entity/Q122617621,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q108117266,fictional facility
http://www.wikidata.org/entity/Q122617711,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q96343424,fictional laboratory
http://www.wikidata.org/entity/Q122547875,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q17682891,fictional prison
http://www.wikidata.org/entity/Q122548157,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q82551938,fictional apartment
http://www.wikidata.org/entity/Q122548393,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q82551938,fictional apartment
http://www.wikidata.org/entity/Q122548897,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15709963,fictional hospital
http://www.wikidata.org/entity/Q122549162,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q108117266,fictional facility
http://www.wikidata.org/entity/Q122549392,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q62662706,fictional cemetery
http://www.wikidata.org/entity/Q122549671,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q60875352,fictional residence
http://www.wikidata.org/entity/Q122549915,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15720793,fictional building
